"x"
"1"	"CHAPTER V."
"2"	"The Twins Thrill Dawson's Landing."
"3"	"Training is everything. The peach was once a bitter almond; cauliflower"
"4"	"is nothing but cabbage with a college education.--Pudd'nhead Wilson's"
"5"	"Calendar."
"6"	"Remark of Dr. Baldwin's, concerning upstarts: We don't care to eat"
"7"	"toadstools that think they are truffles.--Pudd'nhead Wilson's Calendar."
"8"	"Mrs. York Driscoll enjoyed two years of bliss with that prize,"
"9"	"Tom--bliss that was troubled a little at times, it is true, but bliss"
"10"	"nevertheless; then she died, and her husband and his childless sister,"
"11"	"Mrs. Pratt, continued the bliss-business at the old stand. Tom was"
"12"	"petted and indulged and spoiled to his entire content--or nearly that."
"13"	"This went on till he was nineteen, then he was sent to Yale. He went"
"14"	"handsomely equipped with \"conditions,\" but otherwise he was not an"
"15"	"object of distinction there. He remained at Yale two years, and then"
"16"	"threw up the struggle. He came home with his manners a good deal"
"17"	"improved; he had lost his surliness and brusqueness, and was rather"
"18"	"pleasantly soft and smooth, now; he was furtively, and sometimes openly,"
"19"	"ironical of speech, and given to gently touching people on the raw, but"
"20"	"he did it with a good-natured semiconscious air that carried it off"
"21"	"safely, and kept him from getting into trouble. He was as indolent as"
"22"	"ever and showed no very strenuous desire to hunt up an occupation."
"23"	"People argued from this that he preferred to be supported by his uncle"
"24"	"until his uncle's shoes should become vacant. He brought back one or two"
"25"	"new habits with him, one of which he rather openly"
"26"	"practised--tippling--but concealed another which was gambling. It would"
"27"	"not do to gamble where his uncle could hear of it; he knew that quite"
"28"	"well."
"29"	"Tom's Eastern polish was not popular among the young people. They could"
"30"	"have endured it, perhaps, if Tom had stopped there; but he wore gloves,"
"31"	"and that they couldn't stand, and wouldn't; so he was mainly without"
"32"	"society. He brought home with him a suit of clothes of such exquisite"
"33"	"style and cut and fashion,--Eastern fashion, city fashion,--that it"
"34"	"filled everybody with anguish and was regarded as a peculiarly wanton"
"35"	"affront. He enjoyed the feeling which he was exciting, and paraded the"
"36"	"town serene and happy all day; but the young fellows set a tailor to"
"37"	"work that night, and when Tom started out on his parade next morning he"
"38"	"found the old deformed negro bell-ringer straddling along in his wake"
"39"	"tricked out in a flamboyant curtain-calico exaggeration of his finery,"
"40"	"and imitating his fancy Eastern graces as well as he could."
"41"	"Tom surrendered, and after that clothed himself in the local fashion."
"42"	"But the dull country town was tiresome to him, since his"
"43"	"acquaintanceship with livelier regions, and it grew daily more and more"
"44"	"so. He began to make little trips to St. Louis for refreshment. There he"
"45"	"found companionship to suit him, and pleasures to his taste, along with"
"46"	"more freedom, in some particulars, than he could have at home. So,"
"47"	"during the next two years his visits to the city grew in frequency and"
"48"	"his tarryings there grew steadily longer in duration."
"49"	"He was getting into deep waters. He was taking chances, privately, which"
"50"	"might get him into trouble some day--in fact, did."
"51"	"Judge Driscoll had retired from the bench and from all business"
"52"	"activities in 1850, and had now been comfortably idle three years. He"
"53"	"was president of the Free-thinkers' Society, and Pudd'nhead Wilson was"
"54"	"the other member. The society's weekly discussions were now the old"
"55"	"lawyer's main interest in life. Pudd'nhead was still toiling in"
"56"	"obscurity at the bottom of the ladder, under the blight of that unlucky"
"57"	"remark which he had let fall twenty-three years before about the dog."
"58"	"Judge Driscoll was his friend, and claimed that he had a mind above the"
"59"	"average, but that was regarded as one of the Judge's whims, and it"
"60"	"failed to modify the public opinion. Or rather, that was one of the"
"61"	"reasons why it failed, but there was another and better one. If the"
"62"	"Judge had stopped with bare assertion, it would have had a good deal of"
"63"	"effect; but he made the mistake of trying to prove his position. For"
"64"	"some years Wilson had been privately at work on a whimsical almanac, for"
"65"	"his amusement--a calendar, with a little dab of ostensible philosophy,"
"66"	"usually in ironical form, appended to each date; and the Judge thought"
"67"	"that these quips and fancies of Wilson's were neatly turned and cute; so"
"68"	"he carried a handful of them around, one day, and read them to some of"
"69"	"the chief citizens. But irony was not for those people; their mental"
"70"	"vision was not focussed for it. They read those playful trifles in the"
"71"	"solidest earnest, and decided without hesitancy that if there had ever"
"72"	"been any doubt that Dave Wilson was a pudd'nhead--which there"
"73"	"hadn't--this revelation removed that doubt for good and all. That is"
"74"	"just the way in this world; an enemy can partly ruin a man, but it takes"
"75"	"a good-natured injudicious friend to complete the thing and make it"
"76"	"perfect. After this the Judge felt tenderer than ever toward Wilson, and"
"77"	"surer than ever that his calendar had merit."
"78"	"Judge Driscoll could be a free-thinker and still hold his place in"
"79"	"society because he was the person of most consequence in the community,"
"80"	"and therefore could venture to go his own way and follow out his own"
"81"	"notions. The other member of his pet organization was allowed the like"
"82"	"liberty because he was a cipher in the estimation of the public, and"
"83"	"nobody attached any importance to what he thought or did. He was liked,"
"84"	"he was welcome enough all around, but he simply didn't count for"
"85"	"anything."
"86"	"The widow Cooper--affectionately called \"aunt Patsy\" by everybody--lived"
"87"	"in a snug and comely cottage with her daughter Rowena, who was nineteen,"
"88"	"romantic, amiable, and very pretty, but otherwise of no consequence."
"89"	"Rowena had a couple of young brothers--also of no consequence."
"90"	"The widow had a large spare room which she let to a lodger, with board,"
"91"	"when she could find one, but this room had been empty for a year now, to"
"92"	"her sorrow. Her income was only sufficient for the family support, and"
"93"	"she needed the lodging-money for trifling luxuries. But now, at last, on"
"94"	"a flaming June day, she found herself happy; her tedious wait was ended;"
"95"	"her year-worn advertisement had been answered; and not by a village"
"96"	"applicant, oh, no!--this letter was from away off yonder in the dim"
"97"	"great world to the North: it was from St. Louis. She sat on her porch"
"98"	"gazing out with unseeing eyes upon the shining reaches of the mighty"
"99"	"Mississippi, her thoughts steeped in her good fortune. Indeed, it was"
"100"	"specially good fortune, for she was to have two lodgers instead of one."
"101"	"She had read the letter to the family, and Rowena had danced away to see"
"102"	"to the cleaning and airing of the room by the slave woman Nancy, and the"
"103"	"boys had rushed abroad in the town to spread the great news, for it was"
"104"	"matter of public interest, and the public would wonder and not be"
"105"	"pleased if not informed. Presently Rowena returned, all ablush with"
"106"	"joyous excitement, and begged for a re-reading of the letter. It was"
"107"	"framed thus:"
"108"	"Honored Madam: My brother and I have seen your advertisement, by chance,"
"109"	"and beg leave to take the room you offer. We are twenty-four years of"
"110"	"age and twins. We are Italians by birth, but have lived long in the"
"111"	"various countries of Europe, and several years in the United States. Our"
"112"	"names are Luigi and Angelo Capello. You desire but one guest; but dear"
"113"	"Madam, if you will allow us to pay for two, we will not incommode you."
"114"	"We shall be down Thursday."
"115"	"\"Italians! How romantic! Just think, ma--there's never been one in this"
"116"	"town, and everybody will be dying to see them, and they're all ours!"
"117"	"Think of that!\""
"118"	"\"Yes, I reckon they'll make a grand stir.\""
"119"	"\"Oh, indeed they will. The whole town will be on its head!"
"120"	"Think--they've been in Europe and everywhere! There's never been a"
"121"	"traveler in this town before. Ma, I shouldn't wonder if they've seen"
"122"	"kings!\""
"123"	"\"Well, a body can't tell, but they'll make stir enough, without that.\""
"124"	"\"Yes, that's of course. Luigi--Angelo. They're lovely names; and so"
"125"	"grand and foreign--not like Jones and Robinson and such. Thursday they"
"126"	"are coming, and this is only Tuesday; it's a cruel long time to wait."
"127"	"Here comes Judge Driscoll in at the gate. He's heard about it. I'll go"
"128"	"and open the door.\""
"129"	"The Judge was full of congratulations and curiosity. The letter was read"
